now the method is:  fedprox
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  2
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.31850921737266386
average acc:  0.33314790236375413
average acc:  0.34834481716273213
average acc:  0.36792805989922933
average acc:  0.39348781345316886
average acc:  0.41251291194585765
average acc:  0.41819226352320316
average acc:  0.4347917394396942
average acc:  0.4468660252093855
average acc:  0.4572592839655833
average acc:  0.4627652363465356
average acc:  0.46570192885299555
average acc:  0.4676952924042709
average acc:  0.4710775952970673
average acc:  0.477647437276793
average acc:  0.4777490577617015
average acc:  0.47796856995682335
average acc:  0.47829362905847816
  > round 50
average acc:  0.47980968664430323
average acc:  0.4845480587373265
average acc:  0.4855480587373265
average acc:  0.4845480587373265
average acc:  0.4845480587373265
average acc:  0.4838092880517473
average acc:  0.4848092880517473
average acc:  0.4848092880517473
average acc:  0.4849720787494217
average acc:  0.48652375833598516
average acc:  0.48521703683853756
average acc:  0.4842170368385375
average acc:  0.486443657323446
average acc:  0.48783254621233485
average acc:  0.48998358530189456
average acc:  0.5000352648884577
average acc:  0.5220920822887192
average acc:  0.5283305539619735
average acc:  0.5321126052440246
average acc:  0.5320500661570954
average acc:  0.5382199307583393
average acc:  0.5480878114041677
average acc:  0.5632501275256565
average acc:  0.5673909132469115
average acc:  0.5693439046999029
average acc:  0.5692129125036933
average acc:  0.5692871832024553
average acc:  0.5640289220522487
average acc:  0.5691693744183108
average acc:  0.5763887455097872
average acc:  0.5809449332570387
average acc:  0.5799515192531312
average acc:  0.5877138717209156
average acc:  0.6077699685351197
average acc:  0.6198875964003616
average acc:  0.6217523306998786
average acc:  0.6270818074561845
average acc:  0.6381248823852615
average acc:  0.640858361643131
average acc:  0.6474847505135767
average acc:  0.6508214542547293
average acc:  0.6555267775915047
average acc:  0.657159294177958
average acc:  0.6648100223093547
average acc:  0.6620584588321815
average acc:  0.671904573591406
average acc:  0.6678625484763875
average acc:  0.6686931717826204
average acc:  0.6709517373016796
average acc:  0.6771473867749452
  > round 100
average acc:  0.6816696545968027
fedprox train finished!
