now the method is:  fedprox
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  1
average acc:  0.20771796420488328
average acc:  0.40643787858142133
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.39877249716038343
average acc:  0.411813547629673
average acc:  0.4463460420065369
average acc:  0.48609007279483213
average acc:  0.5197866748362692
average acc:  0.54167052016814
average acc:  0.553750717213082
average acc:  0.5600402529638149
average acc:  0.5649423679230512
average acc:  0.5683185517299251
average acc:  0.5735573633775465
average acc:  0.5804655045908781
average acc:  0.5860271892322525
average acc:  0.5944567227353386
average acc:  0.6018239026007268
average acc:  0.6125792373338678
average acc:  0.6234765444310897
average acc:  0.6333745426070929
average acc:  0.6454638771185998
  > round 50
average acc:  0.658410354849824
average acc:  0.6740546499004767
average acc:  0.691699792084935
average acc:  0.7066658197060137
average acc:  0.7202943932090927
average acc:  0.7341116320753426
average acc:  0.7420604442186925
average acc:  0.7515147124044742
average acc:  0.7646728636401698
average acc:  0.7766625542532075
average acc:  0.7854213121064719
average acc:  0.7928133955418177
average acc:  0.7980355918719837
average acc:  0.8008886492547671
average acc:  0.8024236895825398
average acc:  0.8066430460531109
average acc:  0.8130046409121132
average acc:  0.8176852703347219
average acc:  0.8230772459518148
average acc:  0.8245789425871273
average acc:  0.8274478358318775
average acc:  0.827803341997764
average acc:  0.8301735604595079
average acc:  0.8306783644662936
average acc:  0.8319810615147596
average acc:  0.8333045036093193
average acc:  0.8336385254135589
average acc:  0.8358569180116462
average acc:  0.8380731579171075
average acc:  0.839926384187153
average acc:  0.840774424567557
average acc:  0.8404130063019251
average acc:  0.8410721993264476
average acc:  0.8410656947725371
average acc:  0.842077385216089
average acc:  0.8449422667983637
average acc:  0.8454652062211304
average acc:  0.8468025900764843
average acc:  0.8462860786088855
average acc:  0.8456093777538696
average acc:  0.84712404836568
average acc:  0.8478001567665311
average acc:  0.8484772680830011
average acc:  0.8505198990317704
average acc:  0.852051965744009
average acc:  0.8527296695146438
average acc:  0.8530512746652276
average acc:  0.8527141323840656
average acc:  0.8511619595559307
average acc:  0.852519859988635
  > round 100
average acc:  0.8537037460118059
fedprox train finished!
