now the method is:  graphrepair
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  1
average acc:  0.3969318882405649
average acc:  0.42622543556019765
average acc:  0.5545442245469776
average acc:  0.3973991713271662
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.39585647666847584
average acc:  0.39721932141662963
average acc:  0.400804910624155
average acc:  0.4205529825036581
average acc:  0.46143386716140294
average acc:  0.5302687839167007
average acc:  0.57895027269179
average acc:  0.5991003079052692
average acc:  0.6062733352729446
average acc:  0.6074629765172477
average acc:  0.6072752086757276
average acc:  0.6109816963471413
average acc:  0.6188819263988412
average acc:  0.6294656580065283
average acc:  0.6415767341436507
average acc:  0.6562458430600697
average acc:  0.6751259449232991
average acc:  0.6877418250672074
average acc:  0.692559176788788
average acc:  0.7046876490263387
average acc:  0.7151273258399644
average acc:  0.7262235622613871
average acc:  0.7349325481060592
average acc:  0.7448534440207821
average acc:  0.7545959686560744
average acc:  0.763633322796694
average acc:  0.7720455367980945
average acc:  0.7770815255252015
average acc:  0.7829903879400245
average acc:  0.7871731283712121
average acc:  0.7946902048677614
average acc:  0.8003899970721287
average acc:  0.8057471453570425
average acc:  0.8087786041419669
average acc:  0.8113165960593998
average acc:  0.8136498696276615
average acc:  0.8174967342933719
  > round 50
average acc:  0.8211645234954217
average acc:  0.8278612434596383
average acc:  0.8295252119123482
average acc:  0.8305140046171804
average acc:  0.831195614656323
average acc:  0.8313708955815414
average acc:  0.833383455184773
average acc:  0.839237935138266
average acc:  0.8449332988826062
average acc:  0.8477729718274374
average acc:  0.8494450050725189
average acc:  0.8747555080684591
average acc:  0.875606304940364
average acc:  0.8756151906556436
average acc:  0.8762973931489508
average acc:  0.877293805053378
average acc:  0.8794587829744313
average acc:  0.8796113481536407
average acc:  0.8817817925816629
average acc:  0.8824618423823442
average acc:  0.8801305231606753
average acc:  0.8878906989663709
average acc:  0.8855163106360532
average acc:  0.8865521251940743
average acc:  0.885509917812208
average acc:  0.8875241895239014
average acc:  0.8876914407880712
average acc:  0.89074638976588
average acc:  0.8921341029526685
average acc:  0.8936631609180502
average acc:  0.8928007331840749
average acc:  0.8924732159337456
average acc:  0.8916057321542559
average acc:  0.8915905352224861
average acc:  0.8922787200781845
average acc:  0.8927685442772342
average acc:  0.8927801048766593
average acc:  0.8924480537723347
average acc:  0.893141294673548
average acc:  0.8919401292886269
average acc:  0.8915970397763966
average acc:  0.902771032113356
average acc:  0.9037856961724421
average acc:  0.9017412062538229
average acc:  0.9010505285066899
average acc:  0.9030989598251393
average acc:  0.9024327400551868
average acc:  0.9034656512603195
average acc:  0.9036348732244042
average acc:  0.9031395122557402
  > round 100
average acc:  0.9024492449700613
train finished!
