now the method is:  gcfl
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  1
average acc:  0.39726944098318095
average acc:  0.4347817211515455
average acc:  0.40215269896583017
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.39995894633763446
average acc:  0.4299622599938595
average acc:  0.4889336570167836
average acc:  0.5337930571348208
average acc:  0.559214136723826
average acc:  0.5678952923631101
average acc:  0.575018481140676
average acc:  0.5853728261381455
average acc:  0.5911093109806387
average acc:  0.599211996286303
average acc:  0.6067676531860541
average acc:  0.6156821017040632
average acc:  0.6340256161065077
average acc:  0.6456616658596059
average acc:  0.6561320817441921
average acc:  0.6645506885694379
average acc:  0.6721452961939093
average acc:  0.6824116627822318
average acc:  0.6951864306665492
average acc:  0.7111931405623557
average acc:  0.72109712110075
average acc:  0.7333919948843365
average acc:  0.7408287240201143
average acc:  0.7497597891830633
average acc:  0.7534863829703735
average acc:  0.7613757278116526
average acc:  0.7677700625642407
average acc:  0.7765230200478251
average acc:  0.7805376933005475
average acc:  0.7855716761964164
average acc:  0.7894459373235192
average acc:  0.7924727505243828
average acc:  0.7956833550356134
average acc:  0.7983686740940306
  > round 50
average acc:  0.8022331934516226
average acc:  0.8060861170784668
average acc:  0.8106102047907127
average acc:  0.8134788344353971
average acc:  0.813815566255105
average acc:  0.8139748995882913
average acc:  0.8136374585757403
average acc:  0.8146457649423041
average acc:  0.8166492568375452
average acc:  0.8198603069415524
average acc:  0.8237270957304486
average acc:  0.8265781824133169
average acc:  0.828416018414172
average acc:  0.8287527502338801
average acc:  0.8294099374271646
average acc:  0.8300771952440587
average acc:  0.8314175878462695
average acc:  0.8336034576748045
average acc:  0.8351100634942433
average acc:  0.8366237663217577
average acc:  0.8376240430272723
average acc:  0.8379661296238836
average acc:  0.838473426522104
average acc:  0.8396639639605734
average acc:  0.8411630623104829
average acc:  0.8421738966998038
average acc:  0.8428440930009093
average acc:  0.8433529852689133
average acc:  0.8436820627577039
average acc:  0.8435103127708616
average acc:  0.8436936584884517
average acc:  0.8442129967101968
average acc:  0.845218775054003
average acc:  0.8458964436933151
average acc:  0.8464073417925573
average acc:  0.846405371092642
average acc:  0.846039236980304
average acc:  0.8463613994537299
average acc:  0.8468612240137434
average acc:  0.8489033327709933
average acc:  0.8492619594138018
average acc:  0.8486008308206868
average acc:  0.8491126967042252
average acc:  0.8499386251374951
average acc:  0.8507675974489445
average acc:  0.8505968503777213
average acc:  0.8502482240958766
average acc:  0.8500788201390812
average acc:  0.8511180890367358
average acc:  0.8517907016305335
  > round 100
average acc:  0.8519604809174603
GCFL Plus train finished!
